19:27:13.074, Connected as master
19:45:33.540, error
19:45:34.664, error
19:45:35.788, error
19:45:36.912, error
19:45:37.167, -24 dBm, 25
19:45:37.426, -25 dBm, 28
19:45:37.683, -24 dBm, 29
19:45:37.942, -23 dBm, 28
19:45:38.198, -23 dBm, 29
19:45:38.456, -23 dBm, 29
19:45:38.714, -24 dBm, 28
19:45:38.971, -24 dBm, 28
19:45:39.230, -24 dBm, 28
19:45:39.487, -23 dBm, 29
19:45:39.745, -23 dBm, 29
19:45:40.003, -23 dBm, 31
19:45:40.261, -23 dBm, 29
19:45:40.519, -23 dBm, 29
19:45:40.776, -23 dBm, 30
19:45:41.034, -23 dBm, 28
19:45:41.292, -23 dBm, 28
19:45:41.550, -23 dBm, 27
19:45:41.808, -24 dBm, 26
19:45:42.066, -23 dBm, 27
19:45:43.444, error
19:45:43.700, -27 dBm, 26
19:45:43.957, -24 dBm, 28
19:45:44.215, -23 dBm, 29
19:45:44.472, -23 dBm, 29
19:45:44.731, -24 dBm, 28
19:45:44.989, -26 dBm, 28
19:45:45.247, -30 dBm, 26
19:45:45.505, -41 dBm, 29
19:45:45.762, -37 dBm, 24
19:45:46.021, -39 dBm, 30
19:45:46.277, -39 dBm, 29
19:45:46.536, -39 dBm, 28
19:45:46.793, -40 dBm, 27
19:45:47.051, -40 dBm, 28
19:45:47.310, -41 dBm, 27
19:45:47.565, -35 dBm, 26
19:45:47.824, -35 dBm, 28
19:45:48.083, -35 dBm, 28
19:45:48.341, -31 dBm, 25
19:45:48.599, -27 dBm, 27
19:45:49.724, error
19:45:50.847, error
19:45:51.973, error
19:45:53.096, error
19:45:53.352, -25 dBm, 28
19:45:53.609, -23 dBm, 29
19:45:53.868, -24 dBm, 29
19:45:54.125, -23 dBm, 28
19:45:54.383, -23 dBm, 25
19:45:54.641, -24 dBm, 26
19:45:54.899, -24 dBm, 28
19:45:56.024, error
19:45:57.148, error
19:45:58.272, error
19:45:59.396, error
19:46:00.520, error
19:46:01.645, error
19:46:02.768, error
19:46:03.892, error
19:46:05.016, error
19:46:06.140, error
19:46:07.265, error
19:46:08.389, error
19:46:09.513, error
19:46:10.637, error
19:46:11.761, error
19:46:12.885, error
19:46:14.009, error
19:46:15.133, error
19:46:16.257, error
19:46:17.381, error
19:46:18.505, error
19:46:19.629, error
19:46:20.753, error
19:46:21.877, error
19:46:23.001, error
19:46:24.126, error
19:46:25.249, error
19:46:26.373, error
19:46:27.497, error
19:46:28.621, error
19:46:29.745, error
19:46:30.868, error
19:46:31.993, error
19:46:33.117, error
19:46:34.241, error
19:46:35.365, error
19:46:36.489, error
19:46:37.613, error
19:46:38.737, error
19:46:39.861, error
19:46:40.985, error
19:46:42.109, error
19:46:43.233, error
19:46:44.357, error
19:46:45.481, error
19:46:46.605, error
19:46:47.729, error
19:46:48.853, error
19:46:49.977, error
19:46:51.101, error
19:46:52.225, error
19:46:53.349, error
19:46:54.473, error
19:46:55.597, error
19:46:56.721, error
19:46:57.845, error
19:46:58.969, error
19:47:00.092, error
19:47:01.217, error
19:47:02.342, error
19:47:03.465, error
19:47:04.589, error
19:47:05.713, error
19:47:06.837, error
19:47:07.961, error
19:47:09.085, error
19:47:10.209, error
19:47:11.333, error
19:47:12.456, error
19:47:13.581, error
19:47:14.705, error
19:47:15.829, error
19:47:16.953, error
19:47:18.077, error
19:47:19.201, error
19:47:20.325, error
19:47:21.449, error
19:47:22.573, error
19:47:23.697, error
19:47:24.821, error
19:47:25.945, error
19:47:27.069, error
19:47:28.193, error
19:47:29.317, error
19:47:30.441, error
19:47:31.565, error
19:47:32.689, error
19:47:33.813, error
19:47:34.937, error
19:47:36.061, error
19:47:37.185, error
19:47:38.309, error
19:47:39.433, error
19:47:40.557, error
19:47:41.682, error
19:47:42.805, error
19:47:43.929, error
19:47:45.053, error
19:47:46.177, error
19:47:47.301, error
19:47:48.425, error
19:47:49.549, error
19:47:50.673, error
19:47:51.797, error
19:47:52.921, error
19:47:54.045, error
19:47:55.169, error
19:47:56.293, error
19:47:57.417, error
19:47:58.542, error
19:47:59.665, error
19:48:00.789, error
19:48:01.913, error
19:48:03.037, error
19:48:04.161, error
19:48:05.285, error
19:48:06.409, error
19:48:07.534, error
19:48:08.657, error
19:48:09.781, error
19:48:10.905, error
19:48:12.029, error
19:48:13.153, error
19:48:14.277, error
19:48:14.532, -28 dBm, 27
19:48:14.791, -28 dBm, 28
19:48:15.048, -28 dBm, 29
19:48:15.306, -27 dBm, 28
19:48:15.565, -27 dBm, 27
19:48:15.822, -27 dBm, 28
19:48:16.079, -27 dBm, 26
19:48:16.337, -27 dBm, 27
19:48:16.596, -29 dBm, 27
19:48:16.853, -28 dBm, 29
19:48:17.111, -24 dBm, 27
19:48:17.369, -24 dBm, 28
19:48:17.626, -25 dBm, 27
19:48:17.884, -25 dBm, 26
19:48:18.142, -23 dBm, 27
