00:07:13.933, Connected as slave
01:16:26.263, -9 dBm, 25
01:16:26.267, -9 dBm, 25
01:16:26.378, -9 dBm, 25
01:16:26.382, -9 dBm, 25
01:16:26.508, -9 dBm, 25
01:16:26.513, -9 dBm, 26
01:16:26.522, -9 dBm, 26
01:16:26.526, -9 dBm, 26
01:16:26.635, -9 dBm, 26
01:16:26.639, -9 dBm, 26
01:16:26.765, -9 dBm, 26
01:16:26.769, -9 dBm, 26
01:16:26.781, -9 dBm, 26
01:16:26.791, -9 dBm, 26
01:16:26.894, -9 dBm, 26
01:16:26.897, -9 dBm, 26
01:16:27.032, -9 dBm, 26
01:16:27.036, -9 dBm, 27
01:16:27.040, -9 dBm, 27
01:16:27.043, -9 dBm, 27
01:16:27.149, -9 dBm, 27
01:16:27.153, -9 dBm, 27
01:16:27.279, -9 dBm, 27
01:16:27.285, -9 dBm, 27
01:16:27.290, -9 dBm, 27
01:16:27.293, -9 dBm, 27
01:16:27.408, -9 dBm, 27
01:16:27.413, -9 dBm, 27
01:16:27.536, -9 dBm, 27
01:16:27.540, -9 dBm, 25
01:16:27.544, -9 dBm, 25
01:16:27.548, -9 dBm, 25
01:16:27.663, -9 dBm, 25
01:16:27.666, -9 dBm, 25
01:16:27.793, -9 dBm, 25
01:16:27.797, -9 dBm, 27
01:16:27.800, -9 dBm, 27
01:16:27.804, -9 dBm, 27
01:16:27.919, -9 dBm, 27
01:16:27.923, -9 dBm, 27
01:16:28.049, -9 dBm, 27
01:16:28.067, -9 dBm, 25
01:16:28.077, -9 dBm, 25
01:16:28.098, -9 dBm, 25
01:16:28.176, -9 dBm, 25
01:16:28.179, -9 dBm, 25
01:16:28.307, -9 dBm, 25
01:16:28.318, -9 dBm, 27
01:16:28.321, -9 dBm, 27
01:16:28.325, -9 dBm, 27
01:16:28.433, -9 dBm, 27
01:16:28.437, -9 dBm, 27
01:16:28.563, -9 dBm, 27
01:16:28.568, -9 dBm, 27
01:16:28.571, -9 dBm, 27
