13:18:54.800, Log started,
13:19:00.823, Log finished,
13:19:29.527, Log started,
13:19:29.599, Direct device beacon 2,
13:19:44.124, Log finished,
13:19:49.675, Log started,
13:19:54.354, Direct device master,
13:22:33.476, Radio device beacon 1,
13:32:31.491, Log finished,
13:32:37.197, Log started,
13:32:37.268, Direct device master,
13:32:59.047, Radio device beacon 1,
13:50:36.238, Beacon 1-5, 25,
13:50:38.674, Beacon 1-5, 26,
13:50:41.108, Beacon 1-15, 25,
13:50:43.545, Beacon 1-15, 27,
13:50:45.980, Beacon 1-15, 25,
13:50:48.415, Beacon 1-5, 25,
13:50:50.850, Beacon 1-5, 25,
13:50:53.287, Beacon 1-15, 25,
13:50:55.722, Beacon 1-5, 25,
13:50:58.158, Beacon 1-5, 25,
13:51:03.029, Beacon 1-15, 25,
13:51:05.463, Beacon 1-5, 24,
13:51:07.900, Beacon 1-15, 27,
13:51:12.770, Beacon 1-5, 24,
13:51:15.206, Beacon 1-16, 26,
13:51:17.642, Beacon 1-5, 27,
13:51:20.076, Beacon 1-5, 25,
13:51:22.513, Beacon 1-5, 24,
13:51:24.948, Beacon 1-5, 25,
13:51:27.384, Beacon 1-16, 25,
13:51:29.819, Beacon 1-5, 26,
13:51:32.255, Beacon 1-5, 27,
13:51:34.691, Beacon 1-15, 24,
13:51:37.126, Beacon 1-5, 26,
13:51:39.560, Beacon 1-5, 26,
13:51:41.996, Beacon 1-5, 26,
13:51:44.432, Beacon 1-5, 24,
13:51:46.868, Beacon 1-15, 26,
13:51:49.302, Beacon 1-15, 24,
13:51:51.739, Beacon 1-5, 26,
13:51:54.174, Beacon 1-5, 27,
13:51:56.609, Beacon 1-16, 25,
13:51:59.044, Beacon 1-5, 25,
13:52:03.916, Beacon 1-5, 24,
13:52:06.351, Beacon 1-15, 26,
13:52:08.786, Beacon 1-15, 26,
13:52:13.657, Beacon 1-5, 25,
13:52:16.094, Beacon 1-15, 25,
13:52:18.528, Beacon 1-15, 25,
13:52:20.965, Beacon 1-15, 26,
13:52:23.400, Beacon 1-15, 26,
13:52:25.836, Beacon 1-15, 26,
13:52:28.271, Beacon 1-15, 25,
13:52:30.706, Beacon 1-5, 25,
13:52:33.143, Beacon 1-5, 26,
13:52:35.578, Beacon 1-15, 26,
13:52:38.013, Beacon 1-16, 25,
13:52:40.448, Beacon 1-5, 26,
13:52:42.886, Beacon 1-15, 26,
13:52:45.322, Beacon 1-15, 28,
13:52:47.755, Beacon 1-5, 26,
13:52:50.190, Beacon 1-5, 25,
13:52:52.625, Beacon 1-5, 27,
13:52:55.061, Beacon 1-15, 26,
13:52:57.496, Beacon 1-15, 26,
13:52:59.932, Beacon 1-15, 26,
13:53:02.367, Beacon 1-5, 26,
13:53:04.803, Beacon 1-5, 25,
