21:11:25.325, error
21:14:09.956, -11, 28
21:14:10.208, -12, 30
21:14:10.464, -12, 29
21:14:10.730, -12, 30
21:14:10.979, -11, 28
21:14:11.231, -11, 28
21:14:11.486, -11, 29
21:14:11.746, -12, 27
21:14:12.118, -11, 28
21:14:12.260, -12, 29
21:14:12.553, -12, 29
21:14:12.774, -12, 28
21:14:13.029, -11, 28
21:14:13.298, -11, 28
21:14:13.547, -11, 27
21:14:13.801, -11, 28
21:14:14.063, -11, 30
21:14:14.315, -11, 27
21:14:14.573, -11, 26
21:14:14.832, -11, 30
21:14:15.086, -11, 30
21:14:15.344, -11, 29
21:14:15.601, -11, 29
21:14:15.858, -11, 28
21:14:16.115, -12, 29
21:14:16.372, -12, 26
21:14:16.629, -11, 30
21:14:16.887, -12, 27
21:14:17.149, -11, 29
21:14:17.401, -12, 27
21:14:17.657, -11, 27
21:14:17.914, -11, 29
21:14:18.170, -11, 27
21:14:18.428, -11, 29
21:14:18.685, -11, 30
21:14:18.947, -11, 29
21:14:19.198, -11, 27
21:14:19.456, -11, 30
21:14:19.714, -11, 27
21:14:19.970, -11, 27
21:14:20.226, -11, 30
21:14:20.484, -12, 28
21:14:20.741, -11, 27
21:14:21.000, -12, 28
21:14:21.255, -12, 28
21:14:21.515, -12, 27
21:14:21.772, -11, 27
21:14:22.030, -11, 30
21:14:22.286, -11, 28
21:14:22.543, -11, 29
21:14:22.800, -11, 27
21:14:23.057, -12, 29
21:14:23.315, -11, 29
21:14:23.570, -11, 29
21:14:23.828, -11, 28
21:14:24.085, -11, 27
21:14:24.341, -11, 28
21:14:24.604, -11, 28
21:14:24.856, -11, 27
21:14:25.112, -11, 27
21:14:25.369, -12, 27
21:14:25.627, -12, 29
21:14:25.887, -12, 27
21:14:26.142, -12, 28
21:14:26.400, -12, 29
21:14:26.657, -12, 28
21:14:26.913, -12, 27
21:14:27.172, -11, 30
21:14:27.429, -11, 28
21:14:27.688, -11, 29
21:14:27.944, -11, 27
21:14:28.202, -11, 27
21:14:28.457, -12, 29
21:14:28.714, -11, 27
21:14:28.971, -11, 26
21:14:29.228, -11, 27
21:14:29.485, -12, 30
21:14:29.741, -11, 27
21:14:29.998, -11, 28
21:14:30.256, -11, 28
21:14:30.513, -12, 30
21:14:30.770, -11, 28
21:14:31.030, -11, 28
21:14:31.284, -11, 27
21:14:31.541, -11, 29
21:14:31.798, -11, 29
21:14:32.056, -11, 28
21:14:32.314, -11, 28
21:14:32.570, -12, 30
21:14:32.826, -12, 31
21:14:33.085, -11, 28
21:14:33.341, -11, 27
21:14:33.600, -12, 27
21:14:33.854, -12, 29
21:14:34.114, -12, 29
21:14:34.369, -12, 29
21:14:34.629, -11, 29
21:14:34.884, -11, 28
21:14:35.146, -12, 30
21:14:35.398, -12, 29
21:14:35.655, -11, 28
21:14:35.911, -11, 29
21:14:36.169, -11, 29
21:14:36.443, -12, 30
21:14:36.683, -11, 28
21:14:36.941, -11, 28
21:14:37.197, -11, 29
21:14:37.455, -11, 26
21:14:37.712, -12, 28
21:14:37.970, -12, 28
21:14:38.229, -12, 28
21:14:38.484, -12, 28
21:14:38.743, -12, 26
21:14:39.003, -12, 29
21:14:39.258, -12, 29
21:14:39.516, -12, 29
21:14:39.774, -12, 29
21:14:40.031, -12, 30
21:14:40.288, -12, 28
21:14:40.546, -12, 28
21:14:40.808, -12, 30
21:14:41.064, -12, 29
21:14:41.320, -12, 28
21:14:41.578, -12, 27
21:14:41.835, -12, 28
21:14:42.092, -12, 27
21:14:42.350, -12, 27
21:14:42.605, -12, 27
21:14:42.865, -11, 26
21:14:43.120, -11, 27
21:14:43.377, -11, 27
21:14:43.634, -11, 27
21:14:43.891, -12, 28
21:14:44.148, -12, 27
21:14:44.406, -12, 29
21:14:44.663, -12, 29
21:14:44.920, -11, 29
21:14:45.177, -11, 27
21:14:45.437, -11, 30
21:14:45.690, -11, 27
21:14:45.947, -11, 26
21:14:46.205, -12, 31
21:14:46.461, -11, 27
21:14:46.718, -11, 28
21:14:46.974, -11, 28
21:14:47.231, -12, 27
21:14:47.489, -12, 29
21:14:47.747, -12, 28
21:14:48.015, -12, 29
21:14:48.262, -12, 26
21:14:48.520, -12, 28
21:14:48.776, -12, 27
21:14:49.034, -11, 29
21:14:49.292, -12, 27
21:14:49.550, -12, 29
21:14:49.806, -12, 27
21:14:50.064, -12, 28
21:14:50.324, -12, 29
21:14:50.580, -12, 28
21:14:50.838, -12, 27
21:14:51.094, -12, 29
21:14:51.351, -12, 28
21:14:51.609, -12, 29
21:14:51.866, -11, 29
21:14:52.126, -12, 28
21:14:52.381, -12, 28
21:14:52.639, -12, 27
21:14:52.895, -12, 27
21:14:53.153, -11, 27
21:14:53.410, -11, 26
21:14:53.668, -11, 28
21:14:53.925, -11, 30
21:14:54.183, -12, 28
21:14:54.445, -11, 29
21:14:54.697, -11, 28
